Tournament,Date,Prize,P#,Location,Winner,Runner-up
Ludwig Ahgren Championship Series  Ludwig Ahgren Championship Series 3,"Dec 19 - 20, 2020","$25,002",64,North America Online,United States FalcoFoxMango,United States FoxiBDW
Smash Summit  Smash Summit 10 Online,"Nov 19 - 22, 2020","$15,351",20,North America Online,United States MarthZain,United States FalcoMango
Summit Champions League  Slippi Champions League - Season 1 Week 4,"Oct 31, 2020","$5,000",16,North America Online,United States MarthZain,United States SheikSpark
Summit Champions League  Slippi Champions League - Season 1 Week 3,"Oct 25, 2020","$5,000",16,North America Online,United States MarthZain,United States SheikCaptain Faceroll
Summit Champions League  Slippi Champions League - Season 1 Week 2,"Oct 18, 2020","$5,000",16,North America Online,United States MarthZain,Nicaragua Captain Falconn0ne
Summit Champions League  Slippi Champions League - Season 1 Week 1,"Oct 11, 2020","$5,000",16,North America Online,United States FalcoMango,United States MarthZain
THE CLG MIXUP,"Sep 26, 2020","$2,000",163,North America Online,United States FalcoMango,United States FoxiBDW
Ludwig Ahgren Championship Series  Ludwig Ahgren Championship Series 2,"Jul 25 - 26, 2020","$25,001",64,North America Online,United States MarthZain,United States FalcoMango
Get On My Level  Get On My Line 2020,"Jul 18 - 19, 2020","$1,840","1,367",North America Online,Nicaragua Captain Falconn0ne,United States FoxiBDW
Smash Summit Smash Summit 9,"Feb 13 - 16, 2020","$68,251",18,United States Los Angeles,United States JigglypuffHungrybox,United States SheikFoxPlup
GENESIS GENESIS 7,"Jan 24 - 26, 2020","$15,058","1,110",United States Oakland,United States MarthZain,United States JigglypuffHungrybox
Mango's Birthday Bash,"Dec 7 - 8, 2019","$5,692",226,Canada Toronto,United States FalcoFoxMango,United States JigglypuffHungrybox
The Big House The Big House 9,"Oct 4 - 6, 2019","$9,090",909,United States Detroit,United States FalcoFoxMango,United States MarthZain
Mainstage Mainstage,"Sep 20 - 22, 2019","$7,890",289,United States Ontario,United States JigglypuffHungrybox,United States PikachuFalcoYoung LinkAxe
Shine Shine 2019,"Aug 23 - 25, 2019","$6,610",661,United States Worcester,United States JigglypuffHungrybox,United States Captain FalconS2J
Super Smash Con Super Smash Con 2019,"Aug 8 - 11, 2019","$8,530",853,United States Chantilly,Sweden FoxLeffen,United States JigglypuffHungrybox
Low Tier City Low Tier City 7,"Jul 12 - 14, 2019","$3,030",303,United States Arlington,United States JigglypuffHungrybox,United States MarthZain
CEO CEO 2019,"Jun 28 - 30, 2019","$3,300",330,United States Daytona Beach,United States JigglypuffHungrybox,United States Captain FalconWizzrobe
Smash Summit Smash Summit 8,"Jun 13 - 16, 2019","$32,523",16,United States Los Angeles,United States PikachuAxe,United States Captain FalconWizzrobe
Smash 'N' Splash Smash 'N' Splash 5,"May 31 - Jun 2, 2019","$13,380",838,United States Wisconsin Dells,United States Captain FalconWizzrobe,United States JigglypuffHungrybox
Get On My Level Get On My Level 2019,"May 17 - 19, 2019","$4,680",420,Canada Toronto,United States FalcoMango,United States PikachuAxe
Pound Pound 2019,"Apr 19 - 21, 2019","$6,765",451,United States Laurel,United States JigglypuffHungrybox,United States FoxFalcoMango
GENESIS GENESIS 6,"Feb 1 - 3, 2019","$11,130","1,113",United States Oakland,United States JigglypuffHungrybox,United States PikachuAxe
Smash Summit Smash Summit 7,"Nov 15 - 18, 2018","$47,261",16,United States Los Angeles,United States JigglypuffHungrybox,Sweden FoxLeffen
